Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Insurgent Teen,6/29/2023 21:07,0:00:07,Autoplayed: user action: None; ,Season 3 Cliffhanger Clip: The Witcher,HOOK,Netflix Windows App - Cadmium Windows Mobile,0:00:07,0:00:07,KE (Kenya)
Insurgent Teen,6/29/2023 20:41,0:19:53,,The A List: Season 1: Here She Is at Last (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,0:19:53,0:19:53,KE (Kenya)
Insurgent Teen,6/29/2023 14:11,0:09:56,,The Walking Dead: Season 8: Honor (Episode 9),,Netflix Windows App - Cadmium Windows Mobile,0:13:16,0:13:16,KE (Kenya)
Insurgent Teen,6/29/2023 13:48,0:11:00,,Chesapeake Shores: Season 1: Exes Mark the Spot (Episode 10),,Netflix Windows App - Cadmium Windows Mobile,0:36:30,0:36:30,KE (Kenya)
Insurgent Teen,6/29/2023 12:14,0:25:53,,Chesapeake Shores: Season 1: Exes Mark the Spot (Episode 10),,Netflix Windows App - Cadmium Windows Mobile,0:25:32,Not latest view,KE (Kenya)
Insurgent Teen,6/29/2023 11:56,0:17:51,,Chesapeake Shores: Season 1: Deals Undone (Episode 9),,Netflix Windows App - Cadmium Windows Mobile,0:41:47,0:41:47,KE (Kenya)
Insurgent Teen,6/29/2023 10:46,0:24:23,,Chesapeake Shores: Season 1: Deals Undone (Episode 9),,Netflix Windows App - Cadmium Windows Mobile,0:24:12,Not latest view,KE (Kenya)
Insurgent Teen,6/29/2023 10:41,0:05:05,,Chesapeake Shores: Season 1: Second Chances (Episode 8),,Netflix Windows App - Cadmium Windows Mobile,0:41:42,0:41:42,KE (Kenya)
Insurgent Teen,6/29/2023 8:54,0:00:59,Autoplayed: user action: None; ,Teaser: The Perfect Find,TEASER_TRAILER,Netflix Windows App - Cadmium Windows Mobile,0:00:00,0:00:00,KE (Kenya)
Insurgent Teen,6/29/2023 8:17,0:07:10,,Chesapeake Shores: Season 1: Second Chances (Episode 8),,Netflix Windows App - Cadmium Windows Mobile,0:36:51,Not latest view,KE (Kenya)
Insurgent Teen,6/29/2023 8:15,0:01:33,,Chesapeake Shores: Season 1: Second Chances (Episode 8),,Netflix Windows App - Cadmium Windows Mobile,0:30:45,Not latest view,KE (Kenya)
Insurgent Teen,6/29/2023 8:14,0:00:06,Autoplayed: user action: None; ,Teaser: The Perfect Find,TEASER_TRAILER,Netflix Windows App - Cadmium Windows Mobile,0:00:06,Not latest view,KE (Kenya)
Insurgent Teen,6/29/2023 7:13,0:30:41,,Chesapeake Shores: Season 1: Second Chances (Episode 8),,Netflix Windows App - Cadmium Windows Mobile,0:29:51,Not latest view,KE (Kenya)
Insurgent Teen,6/29/2023 6:53,0:19:41,,Chesapeake Shores: Season 1: Georgia on My Mind (Episode 7),,Netflix Windows App - Cadmium Windows Mobile,0:41:46,0:41:46,KE (Kenya)
Insurgent Teen,6/29/2023 6:52,0:00:58,Autoplayed: user action: None; ,Teaser: The Perfect Find,TEASER_TRAILER,Netflix Windows App - Cadmium Windows Mobile,0:00:59,Not latest view,KE (Kenya)
Insurgent Teen,6/29/2023 0:30,0:22:28,Autoplayed: user action: None; ,Chesapeake Shores: Season 1: Georgia on My Mind (Episode 7),,Netflix Windows App - Cadmium Windows Mobile,0:22:33,Not latest view,KE (Kenya)
Insurgent Teen,6/28/2023 23:48,0:41:34,,Chesapeake Shores: Season 1: We're Gaining a Daughter (Episode 6),,Netflix Windows App - Cadmium Windows Mobile,0:41:46,0:41:46,KE (Kenya)
Insurgent Teen,6/28/2023 23:05,0:42:19,,Chesapeake Shores: Season 1: We're Not Losing a Son... (Episode 5),,Netflix Windows App - Cadmium Windows Mobile,0:41:34,0:41:34,KE (Kenya)
Insurgent Teen,6/28/2023 22:24,0:41:20,,Chesapeake Shores: Season 1: Home to Roost: Part 2 (Episode 4),,Netflix Windows App - Cadmium Windows Mobile,0:41:33,0:41:33,KE (Kenya)
Insurgent Teen,6/28/2023 21:44,0:39:59,,Chesapeake Shores: Season 1: Home to Roost: Part 1 (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,0:41:37,0:41:37,KE (Kenya)
Insurgent Teen,6/28/2023 21:00,0:43:22,,Chesapeake Shores: Season 1: Pilot: Part 2 (Episode 2),,Netflix Windows App - Cadmium Windows Mobile,0:43:22,0:43:22,KE (Kenya)
Insurgent Teen,6/28/2023 19:50,0:35:10,,Chesapeake Shores: Season 1: Pilot: Part 1 (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,0:41:51,0:41:51,KE (Kenya)
Insurgent Teen,6/28/2023 19:13,0:06:56,,Chesapeake Shores: Season 1: Pilot: Part 1 (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,0:06:56,Not latest view,KE (Kenya)
Insurgent Teen,6/25/2023 3:47,0:00:36,Autoplayed: user action: None; ,Season 4 Part 2 Teaser: Manifest,TEASER_TRAILER,Netflix Windows App - Cadmium Windows Mobile,0:00:00,0:00:00,KE (Kenya)
Insurgent Teen,6/25/2023 3:13,0:03:22,,The Walking Dead: Season 8: Honor (Episode 9),,Netflix Windows App - Cadmium Windows Mobile,0:03:22,Not latest view,KE (Kenya)
